name,terminology,code,term,name_orig
qcovid_TakingAntiLeukotrien,DMD,21113711000001102,Fluticasone 125micrograms/dose / Formoterol 5micrograms/dose inhaler CFC free (product),TakingAntiLeukotrieneOrLaba
qcovid_PrescribedOralSteroi,DMD,32652311000001103,Dilacort 2.5mg gastro-resistant tablets (Crescent Pharma Ltd) (product),PrescribedOralSteroids
qcovid_PrescribedImmunoSupp,DMD,327070006,Product containing precisely azathioprine 50 milligram/1 each conventional release oral tablet (clinical drug),PrescribedImmunoSuppressants
qcovid_CancerOfBloodOrBoneM,SNOMED,188582000,Hodgkin's disease mixed cellularity of lymph nodes of multiple sites (disorder),CancerOfBloodOrBoneMarrow
qcovid_SevereCombinedImmuno,SNOMED,190986006,Antibody deficiency with near-normal immunoglobulins or with hyperimmunoglobulinemia (finding),SevereCombinedImmunodeficiencySyndromeViaBool
qcovid_CongenitalHeartProbl,SNOMED,204368006,Subaortic stenosis (disorder),CongenitalHeartProblem
qcovid_SevereCombinedImmuno,SNOMED,24743004,Complement deficiency disease (disorder),SevereCombinedImmunodeficiencySyndromeViaBool
qcovid_PrescribedImmunoSupp,DMD,11756011000001107,Revlimid 15mg capsules (Bristol-Myers Squibb Pharmaceuticals Ltd) (product),PrescribedImmunoSuppressants
qcovid_PrescribedImmunoSupp,DMD,16306511000001107,Deximune 25mg capsules (Dexcel-Pharma Ltd) (product),PrescribedImmunoSuppressants
qcovid_CongenitalHeartProbl,OPCS4,K081,Repair of double outlet right ventricle with intraventricular tunnel,CongenitalHeartProblem
qcovid_CongenitalHeartProbl,OPCS4,K082,Repair of fallot-type double outlet right ventricle,CongenitalHeartProblem
qcovid_BoneMarrowTransplant,OPCS4,W34,** first length 4 code ** Autograft of bone marrow,BoneMarrowTransplantInLast6Months/SolidOrganTransplantOrBoneMarrowTransplantInLast6Months
qcovid_PrescribedOralSteroi,DMD,28799011000001102,Pevanti 5mg tablets (AMCo) (product),PrescribedOralSteroids
qcovid_TakingAntiLeukotrien,DMD,320889007,Product containing precisely zafirlukast 20 milligram/1 each conventional release oral tablet (clinical drug),TakingAntiLeukotrieneOrLaba
qcovid_TakingAntiLeukotrien,DMD,3294211000001101,Symbicort 100/6 Turbohaler (AstraZeneca) (product),TakingAntiLeukotrieneOrLaba
qcovid_CancerOfBloodOrBoneM,ICD10,C835,Lymphoblastic (diffuse) lymphoma,CancerOfBloodOrBoneMarrow
qcovid_CancerOfBloodOrBoneM,ICD10,C844,"Peripheral T-cell lymphoma, not elsewhere classified",CancerOfBloodOrBoneMarrow
qcovid_Diabetes,ICD10,E110,Type 2 diabetes mellitus,Diabetes
qcovid_LearningDisabilityOr,ICD10,F89,Unspecified disorder of psychological development,LearningDisabilityOrDownsSyndrome
qcovid_RheumatoidArthritisO,ICD10,M0503,Felty syndrome,RheumatoidArthritisOrSle
qcovid_ChronicKidneyDisease,OPCS4,X406,Continuous ambulatory peritoneal dialysis,ChronicKidneyDisease
qcovid_RadioTherapyInLast6M,OPCS4,X651,Delivery of a fraction of total body irradiation,RadioTherapyInLast6Months
qcovid_RadioTherapyInLast6M,OPCS4,Y354,Introduction of radioactive substance into organ for interstitial brachytherapy NOC,RadioTherapyInLast6Months
qcovid_LungOrOralCancer,ICD10,C022,Malignant neoplasm: Ventral surface of tongue,LungOrOralCancer
qcovid_Epilepsy,ICD10,G411,Petit mal status epilepticus,Epilepsy
qcovid_RheumatoidArthritisO,ICD10,M0581,Other seropositive rheumatoid arthritis,RheumatoidArthritisOrSle
qcovid_RheumatoidArthritisO,ICD10,M0646,Inflammatory polyarthropathy,RheumatoidArthritisOrSle
qcovid_CongenitalHeartProbl,ICD10,Q250,Patent ductus arteriosus,CongenitalHeartProblem
qcovid_CancerOfBloodOrBoneM,ICD10,C819,"Hodgkin lymphoma, unspecified",CancerOfBloodOrBoneMarrow
qcovid_MotorNeuroneDiseaseO,ICD10,G709,"Myoneural disorder, unspecified",MotorNeuroneDiseaseOrMultipleSclerosisOrMyaestheniaOrHuntingtonsChorea
qcovid_StrokeOrTia,ICD10,I634,Cerebral infarction due to embolism of cerebral arteries,StrokeOrTia
qcovid_PriorFractureOfHipWr,ICD10,S2200,Fracture of thoracic vertebra,PriorFractureOfHipWristSpineHumerus
qcovid_Asthma,SNOMED,13151001,Flax-dressers' disease (disorder),Asthma
qcovid_Dementia,SNOMED,191463004,Uncomplicated arteriosclerotic dementia (disorder),Dementia
qcovid_CongenitalHeartProbl,SNOMED,204409004,Anomalous ventricular bands (disorder),CongenitalHeartProblem
qcovid_CongenitalHeartProbl,SNOMED,736965009,Bypass of two coronary arteries with prosthesis (procedure),CongenitalHeartProblem
qcovid_PrescribedImmunoSupp,DMD,18166711000001102,Arzip 500mg tablets (Zentiva Pharma UK Ltd) (product),PrescribedImmunoSuppressants
qcovid_PrescribedOralSteroi,DMD,325444003,Prednisolone 5mg soluble tablet (product),PrescribedOralSteroids
qcovid_Diabetes,ICD10,E148,Unspecified diabetes mellitus,Diabetes
qcovid_Dementia,ICD10,F03,Unspecified dementia,Dementia
qcovid_PeripheralVascularDi,ICD10,I73,Other peripheral vascular diseases,PeripheralVascularDisease
qcovid_InflammatoryBowelDis,ICD10,K509,"Crohn disease, unspecified",InflammatoryBowelDisease
qcovid_RheumatoidArthritisO,ICD10,M06,Other rheumatoid arthritis,RheumatoidArthritisOrSle
qcovid_CongenitalHeartProbl,OPCS4,L071,Creation of shunt to right pulmonary artery from right subclavian artery using interposition tube prosthesis,CongenitalHeartProblem
qcovid_LiverCirrhosis,SNOMED,15999000,Mixed micro and macronodular cirrhosis (disorder),LiverCirrhosis
qcovid_CancerOfBloodOrBoneM,SNOMED,188547001,Hodgkin's sarcoma of lymph nodes of axilla and upper limb (disorder),CancerOfBloodOrBoneMarrow
qcovid_CancerOfBloodOrBoneM,SNOMED,188631008,Sézary's disease of intrathoracic lymph nodes (disorder),CancerOfBloodOrBoneMarrow
qcovid_BipolarDiseaseOrSchi,SNOMED,191658009,Atypical manic disorder (disorder),BipolarDiseaseOrSchizophrenia
qcovid_ThrombosisOrPulmonar,SNOMED,195230003,Cerebral infarction due to cerebral venous thrombosis non-pyogenic (disorder),ThrombosisOrPulmonaryEmbolus
qcovid_StrokeOrTia,SNOMED,195230003,Cerebral infarction due to cerebral venous thrombosis non-pyogenic (disorder),StrokeOrTia
qcovid_LiverCirrhosis,SNOMED,19943007,Cirrhosis of liver (disorder),LiverCirrhosis
qcovid_CongenitalHeartProbl,SNOMED,253672004,Preductal aortic stenosis (disorder),CongenitalHeartProblem
qcovid_Asthma,SNOMED,708094006,Acute exacerbation of intrinsic asthma (disorder),Asthma
qcovid_CancerOfBloodOrBoneM,SNOMED,93526001,Hodgkin's disease of lymph nodes of multiple sites (disorder),CancerOfBloodOrBoneMarrow
qcovid_CancerOfBloodOrBoneM,SNOMED,93547002,Hodgkin's sarcoma of intra-abdominal lymph nodes (disorder),CancerOfBloodOrBoneMarrow
qcovid_SolidOrganTransplant,OPCS4,K026,Revision of transplantation of heart NEC,SolidOrganTransplant/SolidOrganTransplantOrBoneMarrowTransplantInLast6Months
qcovid_PrescribedImmunoSupp,DMD,4897811000001103,Mycophenolate mofetil 1g/5ml oral suspension sugar free (product),PrescribedImmunoSuppressants
qcovid_HivOrAids,SNOMED,111880001,Acute human immunodeficiency virus infection (disorder),HivOrAids
qcovid_CancerOfBloodOrBoneM,SNOMED,188487008,Lymphosarcoma and reticulosarcoma (disorder),CancerOfBloodOrBoneMarrow
qcovid_Dementia,SNOMED,191464005,Arteriosclerotic dementia with delirium (disorder),Dementia
qcovid_LiverCirrhosis,SNOMED,31712002,Primary biliary cholangitis (disorder),LiverCirrhosis
qcovid_Diabetes,SNOMED,395204000,Hyperosmolar non-ketotic state due to type 2 diabetes mellitus (disorder),Diabetes
qcovid_CongenitalHeartProbl,SNOMED,62335009,Congenital stenosis of inferior vena cava (disorder),CongenitalHeartProblem
qcovid_BipolarDiseaseOrSchi,SNOMED,79584002,Moderate bipolar disorder (disorder),BipolarDiseaseOrSchizophrenia
qcovid_CancerOfBloodOrBoneM,SNOMED,94714002,Mycosis fungoides of spleen (disorder),CancerOfBloodOrBoneMarrow
qcovid_LungOrOralCancer,SNOMED,187661003,Malignant tumor of upper labial sulcus (disorder),LungOrOralCancer
qcovid_CancerOfBloodOrBoneM,SNOMED,188566001,Hodgkin's disease nodular sclerosis of intrathoracic lymph nodes (disorder),CancerOfBloodOrBoneMarrow
qcovid_SevereCombinedImmuno,SNOMED,190997006,Severe combined immunodeficiency with low T- and B-cell numbers (disorder),SevereCombinedImmunodeficiencySyndromeViaBool
qcovid_CoronaryHeartDisease,SNOMED,314116003,Post infarct angina (disorder),CoronaryHeartDisease
qcovid_HivOrAids,SNOMED,91947003,Asymptomatic human immunodeficiency virus infection (disorder),HivOrAids
qcovid_CancerOfBloodOrBoneM,SNOMED,188534006,Hodgkin's granuloma of lymph nodes of head face and neck (disorder),CancerOfBloodOrBoneMarrow
qcovid_Copd,SNOMED,293991000000106,Very severe chronic obstructive pulmonary disease (disorder),Copd
qcovid_SevereCombinedImmuno,SNOMED,55602000,Nezelof's syndrome (disorder),SevereCombinedImmunodeficiencySyndromeViaBool
qcovid_Epilepsy,SNOMED,65120008,Generalized convulsive epilepsy (disorder),Epilepsy
qcovid_Diabetes,SNOMED,713705003,Polyneuropathy due to type 1 diabetes mellitus (disorder),Diabetes
qcovid_CancerOfBloodOrBoneM,SNOMED,93521006,Hodgkin's disease of intrapelvic lymph nodes (disorder),CancerOfBloodOrBoneMarrow
qcovid_CongenitalHeartProbl,OPCS4,K18,** first length 4 code ** Creation of valved conduit between atrium and ventricle of heart,CongenitalHeartProblem
qcovid_BoneMarrowTransplant,OPCS4,W344,Allograft of bone marrow from matched unrelated donor,BoneMarrowTransplantInLast6Months/SolidOrganTransplantOrBoneMarrowTransplantInLast6Months
qcovid_RadioTherapyInLast6M,OPCS4,Y368,Other specified introduction of non-removable material into organ NOC,RadioTherapyInLast6Months
qcovid_SolidOrganTransplant,OPCS4,J011,Orthotopic transplantation of liver NEC,SolidOrganTransplant/SolidOrganTransplantOrBoneMarrowTransplantInLast6Months
qcovid_BoneMarrowTransplant,OPCS4,W343,Allograft of bone marrow from sibling donor,BoneMarrowTransplantInLast6Months/SolidOrganTransplantOrBoneMarrowTransplantInLast6Months
qcovid_RadioTherapyInLast6M,OPCS4,Y359,Unspecified introduction of removable radioactive material into organ NOC,RadioTherapyInLast6Months
qcovid_TakingAntiLeukotrien,DMD,25254111000001105,DuoResp Spiromax 160micrograms/dose / 4.5micrograms/dose dry powder inhaler (Teva UK Ltd) (product),TakingAntiLeukotrieneOrLaba
qcovid_PrescribedImmunoSupp,DMD,34809411000001109,Ceptava 360mg gastro-resistant tablets (Sandoz Ltd) (product),PrescribedImmunoSuppressants
qcovid_PrescribedImmunoSupp,DMD,35086111000001103,Canakinumab 150mg/1ml solution for injection vials (product),PrescribedImmunoSuppressants
qcovid_PrescribedImmunoSupp,DMD,9188011000001102,Alemtuzumab 30mg/1ml solution for injection vials (product),PrescribedImmunoSuppressants
qcovid_CancerOfBloodOrBoneM,SNOMED,188672005,Follicular non-Hodgkin's mixed small cleaved and large cell lymphoma (disorder),CancerOfBloodOrBoneMarrow
qcovid_RheumatoidArthritisO,SNOMED,239793008,Rheumatoid arthritis with organ / system involvement (disorder),RheumatoidArthritisOrSle
qcovid_BipolarDiseaseOrSchi,SNOMED,31027006,Schizotypal personality disorder (disorder),BipolarDiseaseOrSchizophrenia
qcovid_StrokeOrTia,SNOMED,34781003,Vertebral artery syndrome (disorder),StrokeOrTia
qcovid_StrokeOrTia,SNOMED,64009001,Basilar artery syndrome (disorder),StrokeOrTia
qcovid_CongenitalHeartProbl,SNOMED,7484005,Double outlet right ventricle (disorder),CongenitalHeartProblem
qcovid_PrescribedImmunoSupp,DMD,28800611000001103,Adoport 0.75mg capsules (Sandoz Ltd) (product),PrescribedImmunoSuppressants
qcovid_PrescribedImmunoSupp,DMD,638611000001108,Sandimmun 50mg capsules (Novartis Pharmaceuticals UK Ltd) (product),PrescribedImmunoSuppressants
qcovid_CancerOfBloodOrBoneM,SNOMED,109966003,Diffuse non-Hodgkin's lymphoma immunoblastic (disorder),CancerOfBloodOrBoneMarrow
qcovid_SickleCellViaBool,SNOMED,13886001,Sickle cell nephropathy (disorder),SickleCellViaBool
qcovid_Diabetes,SNOMED,237599002,Insulin treated type 2 diabetes mellitus (disorder),Diabetes
qcovid_RheumatoidArthritisO,SNOMED,239792003,Seronegative rheumatoid arthritis (disorder),RheumatoidArthritisOrSle
qcovid_CoronaryHeartDisease,SNOMED,46109009,Subendocardial ischemia (disorder),CoronaryHeartDisease
qcovid_PrescribedImmunoSupp,DMD,16658211000001106,Tacrolimus 200microgram granules sachets (product),PrescribedImmunoSuppressants
qcovid_TakingAntiLeukotrien,DMD,23621711000001102,Relvar Ellipta 184micrograms/dose / 22micrograms/dose inhaler (GlaxoSmithKline UK Ltd) (product),TakingAntiLeukotrieneOrLaba
qcovid_SolidOrganTransplant,OPCS4,K01,** first length 4 code ** Allotransplantation of heart and lung,SolidOrganTransplant/SolidOrganTransplantOrBoneMarrowTransplantInLast6Months
qcovid_CongenitalHeartProbl,OPCS4,K191,Creation of conduit between atrium and ventricle of heart NEC,CongenitalHeartProblem
qcovid_BipolarDiseaseOrSchi,ICD10,F230,Acute polymorphic psychotic disorder without symptoms of schizophrenia,BipolarDiseaseOrSchizophrenia
qcovid_LearningDisabilityOr,ICD10,F818,Other developmental disorders of scholastic skills,LearningDisabilityOrDownsSyndrome
qcovid_StrokeOrTia,ICD10,G451,Carotid artery syndrome (hemispheric),StrokeOrTia
qcovid_RheumatoidArthritisO,ICD10,M068,Other specified rheumatoid arthritis,RheumatoidArthritisOrSle
qcovid_LungOrOralCancer,ICD10,C024,Malignant neoplasm: Lingual tonsil,LungOrOralCancer
qcovid_CancerOfBloodOrBoneM,ICD10,C829,"Follicular lymphoma, unspecified",CancerOfBloodOrBoneMarrow
qcovid_StrokeOrTia,ICD10,G454,Transient global amnesia,StrokeOrTia
qcovid_MotorNeuroneDiseaseO,ICD10,G700,Myasthenia gravis,MotorNeuroneDiseaseOrMultipleSclerosisOrMyaestheniaOrHuntingtonsChorea
qcovid_CoronaryHeartDisease,ICD10,I238,Other current complications following acute myocardial infarction,CoronaryHeartDisease
qcovid_CongenitalHeartProbl,ICD10,Q252,Atresia of aorta,CongenitalHeartProblem
qcovid_SolidOrganTransplant,OPCS4,E531,Double lung transplant,SolidOrganTransplant/SolidOrganTransplantOrBoneMarrowTransplantInLast6Months
qcovid_CongenitalHeartProbl,OPCS4,K088,Other specified repair of double outlet ventricle,CongenitalHeartProblem
qcovid_CongenitalHeartProbl,OPCS4,K114,Primary repair of defect of interventricular septum NEC,CongenitalHeartProblem
qcovid_CongenitalHeartProbl,OPCS4,K209,Unspecified refashioning of atrium,CongenitalHeartProblem
qcovid_CongenitalHeartProbl,OPCS4,L019,Unspecified open operations for combined abnormality of great vessels,CongenitalHeartProblem
qcovid_ChronicKidneyDisease,OPCS4,M019,Unspecified transplantation of kidney,ChronicKidneyDisease
qcovid_CancerOfBloodOrBoneM,ICD10,C839,"Non-follicular (diffuse) lymphoma, unspecified",CancerOfBloodOrBoneMarrow
qcovid_Diabetes,ICD10,E126,Malnutrition-related diabetes mellitus,Diabetes
qcovid_CysticFibrosisBronch,ICD10,J672,Bird fancier lung,CysticFibrosisBronchiectasisAlveolitis
qcovid_RheumatoidArthritisO,ICD10,M060,Seronegative rheumatoid arthritis,RheumatoidArthritisOrSle
qcovid_PrescribedImmunoSupp,DMD,18164111000001105,Myfenax 250mg capsules (Teva UK Ltd) (product),PrescribedImmunoSuppressants
qcovid_TakingAntiLeukotrien,DMD,375711000001100,Bambec 10mg tablets (AstraZeneca) (product),TakingAntiLeukotrieneOrLaba
qcovid_LungOrOralCancer,ICD10,C139,"Malignant neoplasm: Hypopharynx, unspecified",LungOrOralCancer
qcovid_ThrombosisOrPulmonar,ICD10,I81,Portal vein thrombosis,ThrombosisOrPulmonaryEmbolus
qcovid_InflammatoryBowelDis,ICD10,K519,"Ulcerative colitis, unspecified",InflammatoryBowelDisease
qcovid_RheumatoidArthritisO,ICD10,M0506,Felty syndrome,RheumatoidArthritisOrSle
qcovid_LungOrOralCancer,ICD10,C34,Malignant neoplasm of bronchus and lung,LungOrOralCancer
qcovid_Diabetes,ICD10,E133,Other specified diabetes mellitus,Diabetes
qcovid_HeartFailure,ICD10,I110,Hypertensive heart disease with (congestive) heart failure,HeartFailure
qcovid_Copd,ICD10,J439,"Emphysema, unspecified",Copd
qcovid_RheumatoidArthritisO,ICD10,M0619,Adult-onset Still disease,RheumatoidArthritisOrSle
qcovid_LearningDisabilityOr,ICD10,F730,Profound mental retardation,LearningDisabilityOrDownsSyndrome
qcovid_LearningDisabilityOr,ICD10,F813,Mixed disorder of scholastic skills,LearningDisabilityOrDownsSyndrome
qcovid_CysticFibrosisBronch,ICD10,J674,Maltworker lung,CysticFibrosisBronchiectasisAlveolitis
qcovid_CongenitalHeartProbl,OPCS4,K084,Repair of double outlet left ventricle,CongenitalHeartProblem
qcovid_ChronicKidneyDisease,OPCS4,M014,Allotransplantation of kidney from cadaver heart-beating,ChronicKidneyDisease
qcovid_SolidOrganTransplant,OPCS4,G788,Other specified other open operations on ileum,SolidOrganTransplant/SolidOrganTransplantOrBoneMarrowTransplantInLast6Months
qcovid_LungOrOralCancer,SNOMED,1090271000000101,Malignant neoplasm of ventral surface of tongue (disorder),LungOrOralCancer
qcovid_CancerOfBloodOrBoneM,SNOMED,109391009,Kaposi's sarcoma of lymph nodes (disorder),CancerOfBloodOrBoneMarrow
qcovid_LungOrOralCancer,SNOMED,187622006,Malignant tumor of labial mucosa (disorder),LungOrOralCancer
qcovid_Diabetes,SNOMED,190447002,Steroid-induced diabetes (disorder),Diabetes
qcovid_CoronaryHeartDisease,SNOMED,315348000,Asymptomatic coronary heart disease (disorder),CoronaryHeartDisease
qcovid_CancerOfBloodOrBoneM,SNOMED,443487006,Mantle cell lymphoma (disorder),CancerOfBloodOrBoneMarrow
qcovid_BipolarDiseaseOrSchi,SNOMED,764671000000105,Recurrent manic episodes in partial remission (disorder),BipolarDiseaseOrSchizophrenia
qcovid_BipolarDiseaseOrSchi,SNOMED,79866005,Subchronic paranoid schizophrenia (disorder),BipolarDiseaseOrSchizophrenia
qcovid_Dementia,SNOMED,90099008,Subcortical leukoencephalopathy (disorder),Dementia
qcovid_CancerOfBloodOrBoneM,SNOMED,93500006,Hodgkin's disease lymphocytic-histiocytic predominance of spleen (disorder),CancerOfBloodOrBoneMarrow
qcovid_CancerOfBloodOrBoneM,SNOMED,94719007,Myeloid sarcoma disease (disorder),CancerOfBloodOrBoneMarrow
qcovid_RadioTherapyInLast6M,OPCS4,Y364,Introduction of non-removable radioactive substance into organ for brachytherapy NOC,RadioTherapyInLast6Months
qcovid_LungOrOralCancer,SNOMED,187853005,Malignant neoplasm of cartilage of trachea (disorder),LungOrOralCancer
qcovid_CoronaryHeartDisease,SNOMED,194863005,Atrial septal defect due to and following acute myocardial infarction (disorder),CoronaryHeartDisease
qcovid_RheumatoidArthritisO,SNOMED,201764007,Rheumatoid arthritis of cervical spine (disorder),RheumatoidArthritisOrSle
qcovid_RheumatoidArthritisO,SNOMED,201772009,Rheumatoid arthritis of metacarpophalangeal joint (disorder),RheumatoidArthritisOrSle
qcovid_BipolarDiseaseOrSchi,SNOMED,268619003,Manic disorder single episode (disorder),BipolarDiseaseOrSchizophrenia
qcovid_CongenitalHeartProbl,SNOMED,30288003,Ventricular septal defect (disorder),CongenitalHeartProblem
qcovid_Copd,SNOMED,313296004,Mild chronic obstructive pulmonary disease (disorder),Copd
qcovid_LungOrOralCancer,SNOMED,421249001,Malignant tumor of vermilion border of lip (disorder),LungOrOralCancer
qcovid_CongenitalHeartProbl,OPCS4,L081,Creation of anastomosis to right pulmonary artery from right subclavian artery NEC,CongenitalHeartProblem
qcovid_CongenitalHeartProbl,OPCS4,K186,Creation of valved conduit between left ventricle of heart and pulmonary artery,CongenitalHeartProblem
qcovid_PrescribedImmunoSupp,DMD,10626311000001106,Tysabri 300mg/15ml concentrate for solution for infusion vials (Biogen Ltd) (product),PrescribedImmunoSuppressants
qcovid_PrescribedImmunoSupp,DMD,16591411000001103,Ilaris 150mg powder for solution for injection vials (Novartis Pharmaceuticals UK Ltd) (product),PrescribedImmunoSuppressants
qcovid_PrescribedImmunoSupp,DMD,29894911000001104,Revlimid 7.5mg capsules (Bristol-Myers Squibb Pharmaceuticals Ltd) (product),PrescribedImmunoSuppressants
qcovid_TakingAntiLeukotrien,DMD,3082411000001100,Serevent 50microgram Diskhaler refill pack (GlaxoSmithKline) (product),TakingAntiLeukotrieneOrLaba
qcovid_CongenitalHeartProbl,OPCS4,K132,Percutaneous transluminal repair of defect of interventricular septum NEC,CongenitalHeartProblem
qcovid_PrescribedImmunoSupp,DMD,19377111000001102,Capsorin 50mg capsules (Morningside Healthcare Ltd) (product),PrescribedImmunoSuppressants
qcovid_PrescribedImmunoSupp,DMD,23285711000001106,Imnovid 3mg capsules (Bristol-Myers Squibb Pharmaceuticals Ltd) (product),PrescribedImmunoSuppressants
qcovid_TakingAntiLeukotrien,DMD,36604711000001102,Stalpex 50micrograms/dose / 500micrograms/dose dry powder inhaler (Glenmark Pharmaceuticals Europe Ltd) (product),TakingAntiLeukotrieneOrLaba
qcovid_LungOrOralCancer,SNOMED,187634003,Malignant tumor of anterior two-thirds of tongue - dorsal surface (disorder),LungOrOralCancer
qcovid_PriorFractureOfHipWr,SNOMED,311890007,Osteoporotic collapse of lumbar vertebra (disorder),PriorFractureOfHipWristSpineHumerus
qcovid_CancerOfBloodOrBoneM,SNOMED,413441006,Acute monocytic leukemia FAB M5b (disorder),CancerOfBloodOrBoneMarrow
qcovid_LearningDisabilityOr,SNOMED,68618008,Rett's disorder (disorder),LearningDisabilityOrDownsSyndrome
qcovid_CancerOfBloodOrBoneM,SNOMED,94712003,Mycosis fungoides of lymph nodes of inguinal region AND/OR lower limb (disorder),CancerOfBloodOrBoneMarrow
qcovid_BipolarDiseaseOrSchi,ICD10,F239,"Acute and transient psychotic disorder, unspecified",BipolarDiseaseOrSchizophrenia
qcovid_LungOrOralCancer,ICD10,C342,"Malignant neoplasm: Middle lobe, bronchus or lung",LungOrOralCancer
qcovid_CancerOfBloodOrBoneM,ICD10,C962,Malignant mast cell tumour,CancerOfBloodOrBoneMarrow
qcovid_Epilepsy,ICD10,G410,Grand mal status epilepticus,Epilepsy
qcovid_CoronaryHeartDisease,ICD10,I201,Angina pectoris with documented spasm,CoronaryHeartDisease
qcovid_RheumatoidArthritisO,ICD10,M0649,Inflammatory polyarthropathy,RheumatoidArthritisOrSle
qcovid_RheumatoidArthritisO,ICD10,M0690,"Rheumatoid arthritis, unspecified",RheumatoidArthritisOrSle
qcovid_CongenitalHeartProbl,ICD10,Q261,Persistent left superior vena cava,CongenitalHeartProblem
qcovid_SolidOrganTransplant,OPCS4,J544,Transplantation of islet of langerhans,SolidOrganTransplant/SolidOrganTransplantOrBoneMarrowTransplantInLast6Months
qcovid_CongenitalHeartProbl,OPCS4,K104,Primary repair of defect of interatrial septum NEC,CongenitalHeartProblem
qcovid_CongenitalHeartProbl,OPCS4,K139,Unspecified transluminal repair of defect of septum,CongenitalHeartProblem
qcovid_CongenitalHeartProbl,OPCS4,L013,Repair of anomalous pulmonary artery origin from ascending aorta,CongenitalHeartProblem
qcovid_LungOrOralCancer,ICD10,C00,Malignant neoplasm of lip,LungOrOralCancer
qcovid_CancerOfBloodOrBoneM,ICD10,C940,Acute erythroid leukaemia,CancerOfBloodOrBoneMarrow
qcovid_RheumatoidArthritisO,ICD10,M0536,Rheumatoid arthritis with involvement of other organs and systems,RheumatoidArthritisOrSle
qcovid_RheumatoidArthritisO,ICD10,M0621,Rheumatoid bursitis,RheumatoidArthritisOrSle
qcovid_RheumatoidArthritisO,ICD10,M0805,Juvenile rheumatoid arthritis,RheumatoidArthritisOrSle
qcovid_CongenitalHeartProbl,ICD10,Q265,Anomalous portal venous connection,CongenitalHeartProblem
qcovid_PriorFractureOfHipWr,ICD10,S221,Multiple fractures of thoracic spine,PriorFractureOfHipWristSpineHumerus
qcovid_Diabetes,SNOMED,190389009,Type II diabetes mellitus with ulcer (disorder),Diabetes
qcovid_BipolarDiseaseOrSchi,SNOMED,191584006,Single manic episode moderate (disorder),BipolarDiseaseOrSchizophrenia
qcovid_StrokeOrTia,SNOMED,230699008,Pure motor lacunar infarction (disorder),StrokeOrTia
qcovid_ChronicKidneyDisease,SNOMED,46177005,End-stage renal disease (disorder),ChronicKidneyDisease
qcovid_BipolarDiseaseOrSchi,SNOMED,61403008,Severe depressed bipolar I disorder without psychotic features (disorder),BipolarDiseaseOrSchizophrenia
qcovid_CongenitalHeartProbl,SNOMED,253614008,Tubular hypoplasia of aorta (disorder),CongenitalHeartProblem
qcovid_CancerOfBloodOrBoneM,SNOMED,277567002,T-cell prolymphocytic leukemia (disorder),CancerOfBloodOrBoneMarrow
qcovid_CancerOfBloodOrBoneM,SNOMED,307651005,Myelosclerosis with myeloid metaplasia (disorder),CancerOfBloodOrBoneMarrow
qcovid_RheumatoidArthritisO,SNOMED,308143008,Seropositive erosive rheumatoid arthritis (disorder),RheumatoidArthritisOrSle
qcovid_Epilepsy,SNOMED,193011005,Unilateral epilepsy (situation),Epilepsy
qcovid_CoronaryHeartDisease,SNOMED,194867006,Rupture of papillary muscle as current complication following acute myocardial infarction (disorder),CoronaryHeartDisease
qcovid_CongenitalHeartProbl,SNOMED,204311009,Eisenmenger's complex (disorder),CongenitalHeartProblem
qcovid_CoronaryHeartDisease,SNOMED,35928006,Nocturnal angina (disorder),CoronaryHeartDisease
qcovid_HeartFailure,SNOMED,420913000,New York Heart Association Classification - Class III (finding),HeartFailure
qcovid_HivOrAids,ICD10,B213,"HIV disease resulting in other malignant neoplasms of lymphoid, haematopoietic and related tissue",HivOrAids
qcovid_LearningDisabilityOr,ICD10,F81,Specific developmental disorders of scholastic skills,LearningDisabilityOrDownsSyndrome
qcovid_RheumatoidArthritisO,ICD10,M0589,Other seropositive rheumatoid arthritis,RheumatoidArthritisOrSle
qcovid_PrescribedImmunoSupp,DMD,18401611000001102,Rapamune 0.5mg tablets (Pfizer Ltd) (product),PrescribedImmunoSuppressants
qcovid_TakingAntiLeukotrien,DMD,35594011000001105,Combisal 25micrograms/dose / 50micrograms/dose inhaler (Aspire Pharma Ltd) (product),TakingAntiLeukotrieneOrLaba
qcovid_CancerOfBloodOrBoneM,ICD10,C964,Sarcoma of dendritic cells (accessory cells),CancerOfBloodOrBoneMarrow
qcovid_Diabetes,ICD10,E103,Type 1 diabetes mellitus,Diabetes
qcovid_Diabetes,ICD10,E142,Unspecified diabetes mellitus,Diabetes
qcovid_RheumatoidArthritisO,ICD10,M0529,Rheumatoid vasculitis,RheumatoidArthritisOrSle
qcovid_CancerOfBloodOrBoneM,ICD10,C810,Nodular lymphocyte predominant Hodgkin lymphoma,CancerOfBloodOrBoneMarrow
qcovid_CancerOfBloodOrBoneM,ICD10,C821,Follicular lymphoma grade II,CancerOfBloodOrBoneMarrow
qcovid_Diabetes,ICD10,E101,Type 1 diabetes mellitus,Diabetes
qcovid_CongenitalHeartProbl,ICD10,Q212,Atrioventricular septal defect,CongenitalHeartProblem
qcovid_CongenitalHeartProbl,ICD10,Q224,Congenital tricuspid stenosis,CongenitalHeartProblem
qcovid_CancerOfBloodOrBoneM,SNOMED,188541000,Hodgkin's granuloma of lymph nodes of multiple sites (disorder),CancerOfBloodOrBoneMarrow
